id,Name,brand
SL-039,Lucky Grocery,Other
SL-040,Vida Markets,Other
SL-013,Perez Market,Other
SL-014,Macey's,Macey's
SL-015,Harmons,Harmons
SL-010,Family Dollar,Family Dollar
SL-012,Family Dollar,Family Dollar
SL-038,Smiths,Smith's
SL-037,John's Marketplace,Other
SL-036,Family Dollar,Family Dollar
SL-052,Smiths,Smith's
SL-034,Harmons,Harmons
SL-031,Target,Target
SL-035,The Fresh Market,Other
SL-027,Big Lots,Other
SL-025,Azteca de Oro,Other
SL-026,Andi's Market,Other
SL-024,Rancho Markets,Other
SL-023,Stan's Market,Other
SL-030,La Placita Market,Other
SL-028,Family Dollar,Family Dollar
SL-029,Harmon's,Harmons
SL-022,Dollar General,Other
SL-021,Smith's,Smith's
SL-020,Dollar Tree,Dollar Tree
SL-019,Rancho Market,Other
SL-018,Walmart,Walmart
SL-017,Family Dollar,Family Dollar
SL-011,El Potrero Market,Other
SL-009,Smith's,Smith's
SL-008,99 Cent Plus,Other
SL-007,Walmart Supercenter,Walmart
SL-006,Target,Target
SL-005,Winco,Winco
SL-004,Family Dollar,Family Dollar
SL-002,Dollar Tree,Dollar Tree
SL-003,Smith's,Smith's
SL-001,Rancho Market #5,Other
SL-016,Anaya's Market,Other
SJ-056,Blue Mountain Foods,Other
SJ-066,Family Dollar,Family Dollar
SJ-059,Family Dollar,Family Dollar
SJ-006,Clark's Market,Other
SJ-005,Grayson General Store,Other
SJ-057,Goulding's Grocery,Other
SJ-003,K&C Trading Post,Other
SJ-001,Family Dollar,Family Dollar
SJ-043,Dove Creek Superette,Other
SJ-044,Dove Creek Sinclair,Other
SJ-045,Frosty's AG Market,Other
SJ-042,Family Dollar,Family Dollar
SJ-047,Family Dollar,Family Dollar
SJ-052,Good 2 Go,Other
SJ-051,City Market,Other
SJ-049,Safeway,Other
SJ-050,Walgreens,Other
SJ-046,Walmart Supercenter,Walmart
SJ-048,Dollar Tree,Dollar Tree
SJ-053,Esmeralda's Ranchito Mexican Grocery Store,Other
SJ-055,Dollar General,Other
SJ-034,Dollar General,Other
SJ-037,7-2-11 Food Store,Other
SJ-019,Wamart Supercenter,Other
SJ-011,Safeway,Other
SJ-026,Sam's Club,Other
SJ-021,Walmart Supercenter,Walmart
SJ-022,Shamrock Foodservice Warehouse,Other
SJ-020,Manila Sunrise Store,Other
SJ-033,Family Dollar,Family Dollar
SJ-040,7-2-11 Food Store,Other
SJ-031,Dollar General,Other
SJ-027,Dollar Tree,Dollar Tree
SJ-041,7-2-11 Food Store,Other
SJ-061,Dollar General,Other
SJ-017,Carneceria Sonora Market,Other
SJ-032,Family Dollar,Family Dollar
SJ-035,Big Lots,Other
SJ-018,7-2-11 Food Store,Other
SJ-030,7-2-11 Food Store,Other
SJ-023,Walgreens,Other
SJ-015,Target,Target
SJ-012,Albertsons,Other
SJ-058,Dollar Tree,Dollar Tree
SJ-014,Walgreens,Other
SJ-016,Natural Grocers,Other
SJ-010,Smiths,Smith's
SJ-039,7-2-11 Food Store,Other
SJ-036,7-2-11 Food Store,Other
SJ-062,Dollar General,Other
UT-004,Rowley' Red Barn,Other
UT-005,Family Dollar,Family Dollar
UT-001,Ivanov's Market,Other
UT-002,Macey's,Macey's
UT-009,El Pueblo Market,Other
UT-008,Walmart Supercenter,Walmart
UT-010,Smith's,Smith's
UT-012,El Centro De Payson Mexican Store,Other
UT-011,El Mercadito,Other
UT-030,Smith's,Smith's
UT-035,Macey's,Macey's
UT-033,Rancho Market,Other
UT-034,Walmart Neighborhood Market,Walmart
UT-053,Trader Joe's,Other
UT-052,Harmon's,Harmons
UT-040,Walmart Supercenter,Walmart
UT-041,Sprouts,Other
UT-037,Day's Market,Other
UT-044,Good Earth,Other
UT-042,La Pequenita,Other
UT-043,Smith's,Smith's
UT-049,First Oriental Market,Other
UT-054,El Mexicano Market,Other
UT-055,Macey's,Macey's
UT-056,Real Foods Market,Other
UT-058,WinCo,Winco
UT-071,Jalisco's,Other
UT-070,Fresh Market,Other
UT-074,Good Earth,Other
UT-077,Top Stop,Other
UT-078,Macey's,Macey's
UT-079,Kohler's,Other
UT-018,Good Earth,Other
UT-019,Macey's,Macey's
UT-022,Ream's,Other
UT-021,Smith's,Smith's
UT-020,Walmart Supercenter,Walmart
UT-023,Lemon and Sage Market,Other
UT-081,Smith's,Smith's
UT-082,Walmart Supercenter,Walmart
UT-084,Ridley's Family Market,Other
UT-090,Meier's Meats and fine foods,Other
UT-066,Walmart Supercenter,Walmart
UT-065,Smith's,Smith's
UT-091,Macey's,Macey's
UT-017,Walmart Neighborhood Market,Walmart
UT-047,Target Grocery,Target
UT-036,Target Grocery,Target
UT-014,Payson Market,Other
UT-015,Stokes Salem Inc,Other
UT-026,Asian Market,Other
UT-025,Fresh Market,Other
UT-029,South End Market,Other
UT-069,Walmart Neighborhood Market,Walmart
UT-016,Walmart Supercenter,Walmart
