"id","Name","type","pharmacy","ethnic","merch","registers","selfchecko","total_registers","availability","cost","market","brand","area","Latitude","Longitude"
"SJ-056","Blue Mountain Foods","Grocery Store","FALSE","FALSE","FALSE","3","0",3,22,4,151.335830232558,"Other",57727.619990617,"40.2328948974609375","-111.66880035400390625"
"SJ-066","Family Dollar","Dollar Store","FALSE","FALSE","FALSE","2","0",2,13,0,189.395080276132,"Family Dollar",20289.906815052,"40.2328948974609375","-111.66880035400390625"
"SJ-059","Family Dollar","Dollar Store","FALSE","FALSE","FALSE","4","0",4,12,4,169.272572046087,"Family Dollar",138069.573170045,"33.533905029296875","-112.17220306396484375"
"SJ-006","Clark's Market","Grocery Store","FALSE","FALSE","FALSE","5","0",5,23,4,164.661862015504,"Other",109007.503044355,"33.533905029296875","-112.17220306396484375"
"SJ-005","Grayson General Store","Other","FALSE","FALSE","FALSE","1","0",1,13,3,168.592031228124,"Other",27834.2937019467,"33.533905029296875","-112.17220306396484375"
"SJ-057","Goulding's Grocery","Grocery Store","FALSE","FALSE","FALSE","3","0",3,19,2,122.444920155039,"Other",67541.7816588283,"33.533905029296875","-112.17220306396484375"
"SJ-003","K&C Trading Post","Trading Post","FALSE","FALSE","FALSE","2","0",2,14,0,163.958470656609,"Other",28750.9638826847,"33.533905029296875","-112.17220306396484375"
"SJ-001","Family Dollar","Dollar Store","FALSE","FALSE","FALSE","4","0",4,9,1,192.965906751776,"Family Dollar",197695.561267614,"33.533905029296875","-112.17220306396484375"
"SJ-043","Dove Creek Superette","Grocery Store","FALSE","FALSE","FALSE","3","0",3,13,-1,167.149661288881,"Other",41764.5957209468,"40.2328948974609375","-111.66880035400390625"
"SJ-044","Dove Creek Sinclair","Convenience Store","FALSE","FALSE","FALSE","1","0",1,6,2,173.720621690674,"Other",32517.2779787779,"40.2328948974609375","-111.66880035400390625"
"SJ-045","Frosty's AG Market","Other","FALSE","FALSE","FALSE","1","0",1,1,0,173.44448835734,"Other",28129.3153525293,"40.2328948974609375","-111.66880035400390625"
"SJ-042","Family Dollar","Dollar Store","FALSE","FALSE","FALSE","2","0",2,12,0,170.715382123607,"Family Dollar",54375.0572434664,"33.533905029296875","-112.17220306396484375"
"SJ-047","Family Dollar","Dollar Store","FALSE","FALSE","FALSE","2","0",2,12,0,169.343548790273,"Family Dollar",43054.0839865506,"33.533905029296875","-112.17220306396484375"
"SJ-052","Good 2 Go","Convenience Store","FALSE","FALSE","FALSE","1","0",1,6,1,173.435621690674,"Other",15348.4336994439,"33.533905029296875","-112.17220306396484375"
"SJ-051","City Market","Grocery Store","TRUE","FALSE","FALSE","8","6",14,26,6,156.393119379845,"Other",246673.94553566,"40.2328948974609375","-111.66880035400390625"
"SJ-049","Safeway","Grocery Store","FALSE","FALSE","FALSE","13","0",13,26,3,149.708109481216,"Other",287019.167081416,"33.533905029296875","-112.17220306396484375"
"SJ-050","Walgreens","Other","TRUE","FALSE","FALSE","3","0",3,15,4,175.88357050461,"Other",125793.530554891,"40.2328948974609375","-111.66880035400390625"
"SJ-046","Walmart Supercenter","Grocery Store","FALSE","FALSE","TRUE","10","21",31,25,7,133.478123255814,"Walmart",771855.142544508,"40.2328948974609375","-111.66880035400390625"
"SJ-048","Dollar Tree","Dollar Store","FALSE","FALSE","FALSE","2","0",2,6,1,168.207877246229,"Dollar Tree",41069.1243002498,"37.34922499999999701003616792149841785430908203125","-108.56790399999999863211996853351593017578125"
"SJ-053","Esmeralda's Ranchito Mexican Grocery Store","Grocery Store","FALSE","TRUE","FALSE","1","0",1,3,1,174.13893835734,"Other",16806.6625667959,"40.2328948974609375","-111.66880035400390625"
"SJ-055","Dollar General","Dollar Store","FALSE","FALSE","FALSE","2","0",2,11,0,187.171174193637,"Other",98721.9862033129,"37.34922499999999701003616792149841785430908203125","-108.56790399999999863211996853351593017578125"
"SJ-034","Dollar General","Dollar Store","FALSE","FALSE","FALSE","1","0",1,12,3,170.323631865209,"Other",82068.4313496351,"40.3506927490234375","-111.73490142822265625"
"SJ-037","7-2-11 Food Store","Convenience Store","FALSE","FALSE","FALSE","2","0",2,5,1,190.400436984335,"Other",36189.5801867545,"40.2328948974609375","-111.66880035400390625"
"SJ-019","Wamart Supercenter","Grocery Store","TRUE","FALSE","FALSE","11",".28",11.28,23,-1,120.710448062016,"Other",907737.700981379,"40.3506927490234375","-111.73490142822265625"
"SJ-011","Safeway","Grocery Store","TRUE","FALSE","FALSE","10","4",14,27,4,169.30548372093,"Other",110844.581810474,"40.2342071533203125","-111.64420318603515625"
"SJ-026","Sam's Club","Grocery Store","FALSE","FALSE","FALSE","10","7",17,21,3,148.375516537468,"Other",508346.01443851,"40.2328948974609375","-111.66880035400390625"
"SJ-021","Walmart Supercenter","Grocery Store","FALSE","FALSE","TRUE","20","28",48,26,3,120.468780620155,"Walmart",680939.46600461,"40.2328948974609375","-111.66880035400390625"
"SJ-022","Shamrock Foodservice Warehouse","Grocery Store","FALSE","FALSE","FALSE","4","0",4,14,2,180.004345535499,"Other",145610.858325839,"40.2328948974609375","-111.66880035400390625"
"SJ-020","Manila Sunrise Store","Grocery Store","FALSE","TRUE","FALSE","2","0",2,2,0,173.827015481523,"Other",128461.750892401,"36.7478339999999974452293827198445796966552734375","-108.1633269999999953370206640101969242095947265625"
"SJ-033","Family Dollar","Dollar Store","FALSE","FALSE","FALSE","1","0",1,15,2,174.068364423348,"Family Dollar",32620.1624444127,"40.3506927490234375","-111.73490142822265625"
"SJ-040","7-2-11 Food Store","Convenience Store","FALSE","FALSE","FALSE","2","0",2,8,1,188.105448095446,"Other",15646.641315937,"36.73223999999999733745426055975258350372314453125","-108.2106720000000024128894438035786151885986328125"
"SJ-031","Dollar General","Dollar Store","FALSE","FALSE","FALSE","3","0",3,10,6,169.779713518956,"Other",34612.2808456123,"40.2328948974609375","-111.66880035400390625"
"SJ-027","Dollar Tree","Dollar Store","FALSE","FALSE","FALSE","3","0",3,6,1,168.207877246229,"Dollar Tree",54552.5464326739,"36.72814799999999735291567048989236354827880859375","-108.197192999999998619387042708694934844970703125"
"SJ-041","7-2-11 Food Store","Convenience Store","FALSE","FALSE","FALSE","2","0",2,9,1,202.012684603382,"Other",9889.32231128216,"36.7282950000000028012436814606189727783203125","-108.1973760000000055470081861130893230438232421875"
"SJ-061","Dollar General","Dollar Store","FALSE","FALSE","FALSE","2","0",2,14,-1,157.960135741178,"Other",51618.4510189295,"40.2328948974609375","-111.66880035400390625"
"SJ-017","Carneceria Sonora Market","Grocery Store","FALSE","TRUE","FALSE","1","0",1,3,0,164.970680015407,"Other",21642.2330960631,"40.2328948974609375","-111.66880035400390625"
"SJ-032","Family Dollar","Dollar Store","FALSE","FALSE","FALSE","1","0",1,12,2,168.583263648155,"Family Dollar",42812.5124628842,"40.3506927490234375","-111.73490142822265625"
"SJ-035","Big Lots","Other","FALSE","FALSE","FALSE","4","0",4,9,5,190.564382203973,"Other",44557.7378318012,"40.2342071533203125","-111.64420318603515625"
"SJ-018","7-2-11 Food Store","Convenience Store","FALSE","FALSE","FALSE","2","0",2,3,0,173.704155024007,"Other",18880.0026650131,"36.73836099999999760257196612656116485595703125","-108.1818420000000031677700462751090526580810546875"
"SJ-030","7-2-11 Food Store","Convenience Store","FALSE","FALSE","FALSE","2","0",2,9,1,168.987459651897,"Other",31626.8862037659,"36.77395200000000130557964439503848552703857421875","-108.134782999999998764906194992363452911376953125"
"SJ-023","Walgreens","Convenience Store","TRUE","FALSE","FALSE","7","0",7,10,0,184.271111402939,"Other",62110.1863228083,"36.759129999999998972270986996591091156005859375","-108.155427000000003090462996624410152435302734375"
"SJ-015","Target","Grocery Store","FALSE","FALSE","TRUE","13","4",17,24,4,155.307962969589,"Target",326885.904958487,"36.768810999999999467036104761064052581787109375","-108.1481189999999941164787742309272289276123046875"
"SJ-012","Albertsons","Grocery Store","FALSE","FALSE","FALSE","12","4",16,26,4,137.78648372093,"Other",160015.196068585,"36.76890399999999914371073828078806400299072265625","-108.1477129999999959863998810760676860809326171875"
"SJ-058","Dollar Tree","Dollar Store","FALSE","FALSE","FALSE","3","2",5,6,2,167.814543912896,"Dollar Tree",208594.573826253,"40.2328948974609375","-111.66880035400390625"
"SJ-014","Walgreens","Other","TRUE","FALSE","FALSE","7","0",7,8,0,172.772143912896,"Other",60524.1028635502,"40.2328948974609375","-111.66880035400390625"
"SJ-016","Natural Grocers","Grocery Store","FALSE","FALSE","FALSE","4","0",4,15,2,222.497946006633,"Other",44047.9725882411,"40.2328948974609375","-111.66880035400390625"
"SJ-010","Smiths","Grocery Store","TRUE","FALSE","FALSE","12","10",22,27,3,133.334928682171,"Smith's",239767.897670448,"36.749381999999997105987858958542346954345703125","-108.1986150000000037607605918310582637786865234375"
"SJ-039","7-2-11 Food Store","Convenience Store","FALSE","FALSE","FALSE","1","0",1,5,0,168.979480962926,"Other",14301.2189551592,"40.2328948974609375","-111.66880035400390625"
"SJ-036","7-2-11 Food Store","Convenience Store","FALSE","FALSE","FALSE","2","0",2,9,1,185.521670317668,"Other",17936.7295809239,"36.75625500000000300815372611396014690399169921875","-108.196562000000000125510268844664096832275390625"
"SJ-062","Dollar General","Dollar Store","FALSE","FALSE","FALSE","2","0",2,13,3,170.622591167534,"Other",23148.7791911662,"40.2328948974609375","-111.66880035400390625"
